site,date,SVL,Mass,Days
Orford,1/02/2000,29.49725619,0.746877835,0
Orford,1/02/2001,61,4.16825,365
Orford,1/02/2002,60.72727273,4.255571698,730
Orford,1/02/2003,62.14150943,4.65409619,1095
Orford,1/02/2004,64.15584416,5.1111,1460
Orford,1/02/2005,65.25,5.437075862,1825
Orford,1/02/2006,65.30769231,5.749916,2190
Orford,1/02/2007,65.38095238,5.894345,2555
Orford,1/02/2008,65.53333333,5.922166667,2920
Orford,1/02/2009,65.71428571,5.665671429,3285
Orford,1/02/2010,64.5,5.9705,3650
Orford,1/02/2011,64,5.4746,4015
CP,1/02/2000,30.10578419,0.588749056,0
CP,1/02/2002,66.94117647,5.947478571,730
CP,1/02/2003,72.04391892,6.70708125,1095
CP,1/02/2004,74.66055046,7.38081619,1460
CP,1/02/2005,75.06672131,7.318758621,1825
CP,1/02/2006,77.55172414,8.298510345,2190
CP,1/02/2007,77.95652174,8.286231818,2555
CP,1/02/2008,77,8.534477778,2920
CP,1/02/2009,78.625,8.6769,3285
CP,1/02/2010,80.75,9.33165,3650
CP,1/02/2011,82,11.01255,4015
